iter	Passed	Remaining
0	3	334
1	21	1076
2	27	875
3	28	692
4	30	581
5	31	491
6	31	424
7	33	386
8	34	350
9	36	327
10	38	308
11	38	284
12	40	267
13	41	253
14	42	240
15	43	227
16	44	216
17	45	205
18	45	196
19	47	191
20	48	183
21	49	176
22	50	169
23	51	162
24	51	155
25	52	149
26	53	143
27	54	139
28	54	134
29	55	129
30	56	125
31	57	121
32	57	117
33	58	113
34	58	109
35	59	105
36	60	103
37	61	100
38	62	97
39	62	94
40	63	91
41	64	88
42	64	85
43	65	82
44	65	80
45	66	78
46	67	76
47	68	73
48	68	71
49	69	69
50	69	67
51	70	65
52	71	63
53	72	61
54	72	59
55	73	57
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	78	48
62	79	46
63	80	45
64	81	43
65	81	42
66	82	40
67	83	39
68	83	37
69	84	36
70	85	34
71	86	33
72	86	32
73	87	30
74	88	29
75	89	28
76	90	26
77	91	25
78	92	24
79	92	23
80	93	22
81	94	20
82	95	19
83	96	18
84	96	17
85	97	15
86	98	14
87	98	13
88	99	12
89	100	11
90	101	10
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
