iter	RMSE
0	83.89304083
1	81.94735062
2	80.52910223
3	79.04333707
4	77.80096543
5	76.38065674
6	75.60307899
7	74.58824852
8	73.86201384
9	72.69992596
10	71.98923809
11	71.37965111
12	70.38566797
13	69.93610059
14	69.33446977
15	68.74814574
16	68.21747189
17	67.84487947
18	67.13640835
19	66.30927636
20	65.57949153
21	64.71026429
22	64.3042371
23	63.75424744
24	63.18082365
25	62.69916457
26	62.55323036
27	62.10322183
28	61.67455731
29	61.36521743
30	60.8855542
31	60.51650515
32	60.33401217
33	60.02697515
34	59.80599841
35	59.68564787
36	59.6558204
37	59.42465561
38	59.27071745
39	58.73527147
40	58.65035482
41	58.39432716
42	58.39424442
43	58.24708804
44	57.9185538
45	57.69354826
46	56.78867839
47	56.26683454
48	56.06665485
49	55.70683209
50	55.54386012
51	55.05224989
52	54.94381555
53	54.68555167
54	54.38842494
55	54.13206985
56	54.11924002
57	54.05455763
58	53.72970045
59	53.15530725
60	52.86004231
61	52.70642817
62	52.68123743
63	52.34998241
64	52.16711485
65	52.04131124
66	51.88184699
67	51.63382532
68	51.22885871
69	51.11547899
70	50.99895919
71	50.68295935
72	50.4494336
73	50.37372951
74	50.24788281
75	50.17528488
76	50.04869919
77	49.86971715
78	49.7866482
79	49.69352725
80	49.61214744
81	49.36206505
82	49.17894674
83	49.16060792
84	49.11368225
85	48.90479676
86	48.84301012
87	48.68227753
88	48.62213278
89	48.39143319
90	48.27161941
91	48.21052069
92	48.16185831
93	47.84756004
94	47.77437825
95	47.68942951
96	47.60670258
97	47.56871528
98	47.40089666
99	47.36585061
